Frame,CoMx,CoMy,CoMz
0,2.062156,-0.255855,0.914021
1,2.061619,-0.251858,0.910926
2,2.061091,-0.247852,0.90777
3,2.060579,-0.24383,0.9045
4,2.060009,-0.239702,0.901131
5,2.059421,-0.235446,0.897661
6,2.058751,-0.231076,0.894127
7,2.058051,-0.226645,0.890594
8,2.057567,-0.222229,0.886864
9,2.057234,-0.217823,0.882937
10,2.056947,-0.213423,0.878867
11,2.056684,-0.208978,0.87471
12,2.054401,-0.206412,0.874411
13,2.054285,-0.202248,0.874063
14,2.053638,-0.198417,0.871174
15,2.053029,-0.194636,0.868224
16,2.052557,-0.190898,0.865138
17,2.052168,-0.187245,0.861901
18,2.051729,-0.183522,0.858502
19,2.051314,-0.179632,0.854866
20,2.050856,-0.175504,0.851006
21,2.050354,-0.171187,0.847015
22,2.049862,-0.166697,0.842902
23,2.049425,-0.162085,0.838632
24,2.04905,-0.157417,0.834218
25,2.048708,-0.152732,0.82972
26,2.048384,-0.147998,0.825172
27,2.048093,-0.143211,0.820584
28,2.047823,-0.138384,0.815938
29,2.047558,-0.133533,0.811239
30,2.047323,-0.12864,0.806462
31,2.047084,-0.123675,0.801677
32,2.046826,-0.118732,0.796774
33,2.046519,-0.113752,0.791756
34,2.046191,-0.108726,0.786639
35,2.045883,-0.103654,0.781403
36,2.045564,-0.098512,0.776013
37,2.045232,-0.093352,0.770487
38,2.044926,-0.088155,0.764829
39,2.044661,-0.082929,0.759069
40,2.044452,-0.077682,0.753215
41,2.044308,-0.072427,0.747276
42,2.04422,-0.067177,0.741263
43,2.044164,-0.061903,0.735186
44,2.044115,-0.056591,0.729071
45,2.044053,-0.051217,0.722919
46,2.043973,-0.045806,0.716739
47,2.043908,-0.040301,0.740717
48,2.043835,-0.03474,0.736549
49,2.043715,-0.029148,0.732281
50,2.043516,-0.023528,0.727938
51,2.043219,-0.017836,0.723512
52,2.042868,-0.012029,0.71902
53,2.042476,-0.006105,0.714459
54,2.042062,-0.000057,0.709826
55,2.041611,0.00617,0.705222
56,2.041204,0.012545,0.70053
57,2.040879,0.019066,0.695806
58,2.040687,0.02571,0.691051
59,2.040644,0.03247,0.686266
60,2.040706,0.039314,0.681474
61,2.040839,0.046232,0.676686
62,2.041038,0.053281,0.671882
63,2.041264,0.060461,0.733648
64,2.041496,0.067712,0.73143
65,2.041873,0.074277,0.729102
66,2.042061,0.081827,0.72673
67,2.042202,0.08946,0.724348
68,2.042271,0.09715,0.749174
69,2.042295,0.104948,0.759899
70,2.042332,0.112894,0.779874
71,2.042376,0.120953,0.790731
72,2.042512,0.129067,0.797915
73,2.042703,0.137239,0.803147
74,2.042907,0.145504,0.807187
75,2.04316,0.15394,0.810434
76,2.043415,0.162527,0.813126
77,2.043733,0.171194,0.815402
78,2.044128,0.179984,0.817265
79,2.044542,0.188959,0.814636
80,2.045018,0.198031,0.812423
81,2.045486,0.207256,0.812528
82,2.045932,0.216658,0.812609
83,2.046359,0.226268,0.812694
84,2.046805,0.236099,0.812838
85,2.047232,0.246108,0.814606
86,2.047631,0.256225,0.816135
87,2.048001,0.266469,0.817442
88,2.048328,0.276906,0.818539
89,2.048614,0.287521,0.819504
90,2.048892,0.298238,0.820342
91,2.049137,0.309123,0.821024
92,2.049395,0.320159,0.821639
93,2.049701,0.331307,0.81672
94,2.05007,0.342618,0.817753
95,2.050515,0.354122,0.818914
96,2.050991,0.365833,0.820223
97,2.051562,0.377715,0.821646
98,2.052174,0.38973,0.82304
99,2.05274,0.401935,0.82427
100,2.05318,0.414411,0.825361
101,2.053544,0.427034,0.826384
102,2.053884,0.439829,0.827283
103,2.054184,0.452807,0.828191
104,2.054443,0.46601,0.829077
105,2.050876,0.467112,0.830095
106,2.051655,0.479436,0.831444
107,2.050757,0.486188,0.833135
108,2.051016,0.495414,0.83507
109,2.051415,0.50868,0.837495
110,2.051506,0.522553,0.834107
111,2.051284,0.536104,0.835963
112,2.05105,0.550003,0.837675
113,2.049648,0.55829,0.839387
114,2.049249,0.570252,0.841177
115,2.04888,0.582568,0.843093
116,2.048581,0.595038,0.845143
117,2.04818,0.606614,0.847267
118,2.047876,0.618287,0.849446
119,2.047038,0.627548,0.851604
120,2.04641,0.63923,0.853752
121,2.045746,0.650342,0.856473
122,2.045194,0.660309,0.858727
123,2.04487,0.67104,0.861179
124,2.044606,0.679879,0.863739
125,2.044468,0.68851,0.866394
126,2.044413,0.699149,0.869102
127,2.043969,0.705428,0.871938
128,2.043466,0.714578,0.874675
129,2.042942,0.725342,0.877357
